,gene1,gene2,Both mutated,Gene 1 Mutated,Gene 2 Mutated,Niether mutated,Odds ratio,P value
57,ASXL1,DNMT3A,1,6,11,106,1.606060606060606,0.5187271410250716
58,ASXL1,ARID1A,0,7,4,113,0.0,1.0
59,ASXL1,SETD2,0,7,9,108,0.0,1.0
60,ASXL1,JAK1,0,7,5,112,0.0,1.0
61,ASXL1,CSF3R,0,7,6,111,0.0,1.0
62,ASXL1,TNFAIP3,1,6,5,112,3.7333333333333334,0.2996053762226507
63,ASXL1,JAK3,0,7,3,114,0.0,1.0
64,ASXL1,IRF4,0,7,1,116,0.0,1.0
65,ASXL1,ABL1,0,7,2,115,0.0,1.0
66,ASXL1,IGHJ6-CCND1,1,6,1,116,19.333333333333332,0.11014948859166011
67,ASXL1,FBXW7,0,7,4,113,0.0,1.0
68,ASXL1,IDH2,0,7,1,116,0.0,1.0
69,ASXL1,SRSF2,0,7,2,115,0.0,1.0
70,ASXL1,TNFRSF1B,0,7,1,116,0.0,1.0
71,ASXL1,SOCS1,0,7,1,116,0.0,1.0
72,ASXL1,EPOR,0,7,1,116,0.0,1.0
73,ASXL1,RAD21,0,7,1,116,0.0,1.0
74,ASXL1,TNFRSF14,0,7,1,116,0.0,1.0
75,ASXL1,PIM1,0,7,1,116,0.0,1.0
76,ASXL1,POT1,0,7,1,116,0.0,1.0
77,ASXL1,NFKBIE,0,7,1,116,0.0,1.0
78,ASXL1,PTEN,0,7,1,116,0.0,1.0
79,ASXL1,CD274/PD-1,0,7,1,116,0.0,1.0
80,ASXL1,PHF6,1,6,0,117,inf,0.0564516129032258
81,ASXL1,RPS15,0,7,1,116,0.0,1.0
82,ASXL1,CXCR4,0,7,1,116,0.0,1.0
83,ASXL1,KLF2,0,7,1,116,0.0,1.0
84,ASXL1,MYD88,0,7,1,116,0.0,1.0
85,PIK3CA,ASXL1,0,2,7,115,0.0,1.0
86,PIK3CA,PIK3CA,2,0,0,122,inf,0.00013113034356150013
87,PIK3CA,FOXO1,0,2,3,119,0.0,1.0
88,PIK3CA,CALR,0,2,2,120,0.0,1.0
89,PIK3CA,JAK2,0,2,3,119,0.0,1.0
90,PIK3CA,SGK1,0,2,3,119,0.0,1.0
91,PIK3CA,FGFR3,0,2,1,121,0.0,1.0
92,PIK3CA,PRDM1,0,2,4,118,0.0,1.0
93,PIK3CA,CREBBP,0,2,4,118,0.0,1.0
94,PIK3CA,RUNX1,0,2,3,119,0.0,1.0
95,PIK3CA,NFKB2-B2M,0,2,1,121,0.0,1.0
96,PIK3CA,IKZF3,0,2,1,121,0.0,1.0
97,PIK3CA,EP300,0,2,10,112,0.0,1.0
98,PIK3CA,MTOR,0,2,1,121,0.0,1.0
99,PIK3CA,STAT3,1,1,1,121,121.0,0.032126934172567526
100,PIK3CA,BCOR,1,1,4,118,29.5,0.07933385785470758
101,PIK3CA,STX11,0,2,4,118,0.0,1.0
102,PIK3CA,CDKN2B,0,2,2,120,0.0,1.0
103,PIK3CA,NF1,0,2,6,116,0.0,1.0
104,PIK3CA,BCL6,0,2,3,119,0.0,1.0
105,PIK3CA,NOTCH1,0,2,3,119,0.0,1.0
106,PIK3CA,ALK,1,1,0,122,inf,0.016129032258064516
107,PIK3CA,MEF2BNB-MEFB,0,2,2,120,0.0,1.0
108,PIK3CA,CARD11,0,2,5,117,0.0,1.0
109,PIK3CA,CD58,0,2,1,121,0.0,1.0
110,PIK3CA,SF3B1,0,2,1,121,0.0,1.0
111,PIK3CA,PPM1D,0,2,4,118,0.0,1.0
112,PIK3CA,IGHG3-CCND1,0,2,1,121,0.0,1.0
113,PIK3CA,SH2B3,0,2,3,119,0.0,1.0
114,PIK3CA,CIITA,0,2,3,119,0.0,1.0
115,PIK3CA,BCL2,0,2,2,120,0.0,1.0
116,PIK3CA,PTPN11,0,2,1,121,0.0,1.0
117,PIK3CA,KMT2A,0,2,4,118,0.0,1.0
118,PIK3CA,ITK,0,2,4,118,0.0,1.0
119,PIK3CA,PAX5,0,2,2,120,0.0,1.0
120,PIK3CA,ATM,1,1,2,120,60.0,0.04799370574350905
121,PIK3CA,CD83,0,2,2,120,0.0,1.0
122,PIK3CA,CCND1,0,2,1,121,0.0,1.0
123,PIK3CA,PD-1,0,2,2,120,0.0,1.0
124,PIK3CA,GNA13,0,2,1,121,0.0,1.0
125,PIK3CA,EZH2,0,2,1,121,0.0,1.0
126,PIK3CA,BCR,1,1,2,120,60.0,0.04799370574350905
127,PIK3CA,ID3,0,2,2,120,0.0,1.0
128,PIK3CA,KIT,0,2,2,120,0.0,1.0
129,PIK3CA,PIK3CD,0,2,1,121,0.0,1.0
130,PIK3CA,MYC,0,2,2,120,0.0,1.0
131,PIK3CA,IL7R,0,2,1,121,0.0,1.0
132,PIK3CA,ZRSR2,0,2,4,118,0.0,1.0
133,PIK3CA,NOTCH2,0,2,2,120,0.0,1.0
134,PIK3CA,IRF8,0,2,4,118,0.0,1.0
135,PIK3CA,TP53 gene,0,2,7,115,0.0,1.0
136,PIK3CA,KRAS,0,2,8,114,0.0,1.0
137,PIK3CA,NRAS,1,1,6,116,19.333333333333332,0.11014948859166011
138,PIK3CA,PDL2,0,2,5,117,0.0,1.0
139,PIK3CA,BRAF,0,2,2,120,0.0,1.0
140,PIK3CA,EGR1,1,1,4,118,29.5,0.07933385785470758
141,PIK3CA,TET2,1,1,20,102,5.1,0.3111723052714398
142,PIK3CA,DNMT3A,0,2,12,110,0.0,1.0
143,PIK3CA,ARID1A,1,1,3,119,39.666666666666664,0.06372934697088907
144,PIK3CA,SETD2,0,2,9,113,0.0,1.0
145,PIK3CA,JAK1,1,1,4,118,29.5,0.07933385785470758
146,PIK3CA,CSF3R,0,2,6,116,0.0,1.0
147,PIK3CA,TNFAIP3,0,2,6,116,0.0,1.0
148,PIK3CA,JAK3,0,2,3,119,0.0,1.0
149,PIK3CA,IRF4,0,2,1,121,0.0,1.0
150,PIK3CA,ABL1,0,2,2,120,0.0,1.0
151,PIK3CA,IGHJ6-CCND1,0,2,2,120,0.0,1.0
152,PIK3CA,FBXW7,0,2,4,118,0.0,1.0
153,PIK3CA,IDH2,0,2,1,121,0.0,1.0
154,PIK3CA,SRSF2,0,2,2,120,0.0,1.0
155,PIK3CA,TNFRSF1B,0,2,1,121,0.0,1.0
156,PIK3CA,SOCS1,0,2,1,121,0.0,1.0
157,PIK3CA,EPOR,0,2,1,121,0.0,1.0
158,PIK3CA,RAD21,0,2,1,121,0.0,1.0
159,PIK3CA,TNFRSF14,0,2,1,121,0.0,1.0
160,PIK3CA,PIM1,0,2,1,121,0.0,1.0
161,PIK3CA,POT1,0,2,1,121,0.0,1.0
162,PIK3CA,NFKBIE,0,2,1,121,0.0,1.0
163,PIK3CA,PTEN,0,2,1,121,0.0,1.0
164,PIK3CA,CD274/PD-1,0,2,1,121,0.0,1.0
165,PIK3CA,PHF6,0,2,1,121,0.0,1.0
166,PIK3CA,RPS15,0,2,1,121,0.0,1.0
167,PIK3CA,CXCR4,0,2,1,121,0.0,1.0
168,PIK3CA,KLF2,0,2,1,121,0.0,1.0
169,PIK3CA,MYD88,0,2,1,121,0.0,1.0
170,FOXO1,ASXL1,0,3,7,114,0.0,1.0
171,FOXO1,PIK3CA,0,3,2,119,0.0,1.0
172,FOXO1,FOXO1,3,0,0,121,inf,3.224516644954921e-06
173,FOXO1,CALR,0,3,2,119,0.0,1.0
174,FOXO1,JAK2,0,3,3,118,0.0,1.0
175,FOXO1,SGK1,1,2,2,119,29.75,0.07140369658588178
176,FOXO1,FGFR3,0,3,1,120,0.0,1.0
177,FOXO1,PRDM1,0,3,4,117,0.0,1.0
178,FOXO1,CREBBP,0,3,4,117,0.0,1.0
179,FOXO1,RUNX1,0,3,3,118,0.0,1.0
180,FOXO1,NFKB2-B2M,0,3,1,120,0.0,1.0
181,FOXO1,IKZF3,0,3,1,120,0.0,1.0
182,FOXO1,EP300,0,3,10,111,0.0,1.0
183,FOXO1,MTOR,0,3,1,120,0.0,1.0
184,FOXO1,STAT3,0,3,2,119,0.0,1.0
185,FOXO1,BCOR,1,2,4,117,14.625,0.1170660767950884
186,FOXO1,STX11,0,3,4,117,0.0,1.0
187,FOXO1,CDKN2B,0,3,2,119,0.0,1.0
188,FOXO1,NF1,0,3,6,115,0.0,1.0
189,FOXO1,BCL6,0,3,3,118,0.0,1.0
190,FOXO1,NOTCH1,0,3,3,118,0.0,1.0
191,FOXO1,ALK,0,3,1,120,0.0,1.0
192,FOXO1,MEF2BNB-MEFB,0,3,2,119,0.0,1.0
193,FOXO1,CARD11,0,3,5,116,0.0,1.0
194,FOXO1,CD58,0,3,1,120,0.0,1.0
195,FOXO1,SF3B1,0,3,1,120,0.0,1.0
196,FOXO1,PPM1D,0,3,4,117,0.0,1.0
197,FOXO1,IGHG3-CCND1,0,3,1,120,0.0,1.0
198,FOXO1,SH2B3,0,3,3,118,0.0,1.0
199,FOXO1,CIITA,0,3,3,118,0.0,1.0
200,FOXO1,BCL2,0,3,2,119,0.0,1.0
201,FOXO1,PTPN11,0,3,1,120,0.0,1.0
202,FOXO1,KMT2A,0,3,4,117,0.0,1.0
203,FOXO1,ITK,0,3,4,117,0.0,1.0
204,FOXO1,PAX5,0,3,2,119,0.0,1.0
205,FOXO1,ATM,0,3,3,118,0.0,1.0
206,FOXO1,CD83,0,3,2,119,0.0,1.0
207,FOXO1,CCND1,0,3,1,120,0.0,1.0
208,FOXO1,PD-1,0,3,2,119,0.0,1.0
209,FOXO1,GNA13,0,3,1,120,0.0,1.0
210,FOXO1,EZH2,0,3,1,120,0.0,1.0
211,FOXO1,BCR,0,3,3,118,0.0,1.0
212,FOXO1,ID3,0,3,2,119,0.0,1.0
213,FOXO1,KIT,0,3,2,119,0.0,1.0
214,FOXO1,PIK3CD,0,3,1,120,0.0,1.0
215,FOXO1,MYC,0,3,2,119,0.0,1.0
216,FOXO1,IL7R,0,3,1,120,0.0,1.0
217,FOXO1,ZRSR2,0,3,4,117,0.0,1.0
218,FOXO1,NOTCH2,0,3,2,119,0.0,1.0
219,FOXO1,IRF8,0,3,4,117,0.0,1.0
220,FOXO1,TP53 gene,1,2,6,115,9.583333333333334,0.1612064851478763
221,FOXO1,KRAS,0,3,8,113,0.0,1.0
222,FOXO1,NRAS,0,3,7,114,0.0,1.0
223,FOXO1,PDL2,0,3,5,116,0.0,1.0
224,FOXO1,BRAF,0,3,2,119,0.0,1.0
225,FOXO1,EGR1,0,3,5,116,0.0,1.0
226,FOXO1,TET2,0,3,21,100,0.0,1.0
227,FOXO1,DNMT3A,0,3,12,109,0.0,1.0
228,FOXO1,ARID1A,0,3,4,117,0.0,1.0
229,FOXO1,SETD2,1,2,8,113,7.0625,0.2038507177774052
230,FOXO1,JAK1,0,3,5,116,0.0,1.0
231,FOXO1,CSF3R,0,3,6,115,0.0,1.0
232,FOXO1,TNFAIP3,0,3,6,115,0.0,1.0
233,FOXO1,JAK3,0,3,3,118,0.0,1.0
234,FOXO1,IRF4,0,3,1,120,0.0,1.0
235,FOXO1,ABL1,0,3,2,119,0.0,1.0
236,FOXO1,IGHJ6-CCND1,0,3,2,119,0.0,1.0
237,FOXO1,FBXW7,0,3,4,117,0.0,1.0
238,FOXO1,IDH2,0,3,1,120,0.0,1.0
239,FOXO1,SRSF2,0,3,2,119,0.0,1.0
240,FOXO1,TNFRSF1B,0,3,1,120,0.0,1.0
241,FOXO1,SOCS1,0,3,1,120,0.0,1.0
242,FOXO1,EPOR,0,3,1,120,0.0,1.0
243,FOXO1,RAD21,0,3,1,120,0.0,1.0
244,FOXO1,TNFRSF14,0,3,1,120,0.0,1.0
245,FOXO1,PIM1,0,3,1,120,0.0,1.0
246,FOXO1,POT1,1,2,0,121,inf,0.02419354838709677
247,FOXO1,NFKBIE,0,3,1,120,0.0,1.0
248,FOXO1,PTEN,0,3,1,120,0.0,1.0
249,FOXO1,CD274/PD-1,0,3,1,120,0.0,1.0
250,FOXO1,PHF6,0,3,1,120,0.0,1.0
251,FOXO1,RPS15,0,3,1,120,0.0,1.0
252,FOXO1,CXCR4,0,3,1,120,0.0,1.0
253,FOXO1,KLF2,0,3,1,120,0.0,1.0
254,FOXO1,MYD88,0,3,1,120,0.0,1.0
255,CALR,ASXL1,0,2,7,115,0.0,1.0
256,CALR,PIK3CA,0,2,2,120,0.0,1.0
257,CALR,FOXO1,0,2,3,119,0.0,1.0
258,CALR,CALR,2,0,0,122,inf,0.00013113034356150013
259,CALR,JAK2,0,2,3,119,0.0,1.0
260,CALR,SGK1,0,2,3,119,0.0,1.0
261,CALR,FGFR3,0,2,1,121,0.0,1.0
262,CALR,PRDM1,0,2,4,118,0.0,1.0
263,CALR,CREBBP,0,2,4,118,0.0,1.0
264,CALR,RUNX1,0,2,3,119,0.0,1.0
265,CALR,NFKB2-B2M,0,2,1,121,0.0,1.0
266,CALR,IKZF3,0,2,1,121,0.0,1.0
267,CALR,EP300,0,2,10,112,0.0,1.0
268,CALR,MTOR,0,2,1,121,0.0,1.0
269,CALR,STAT3,0,2,2,120,0.0,1.0
270,CALR,BCOR,0,2,5,117,0.0,1.0
271,CALR,STX11,0,2,4,118,0.0,1.0
272,CALR,CDKN2B,0,2,2,120,0.0,1.0
273,CALR,NF1,0,2,6,116,0.0,1.0
274,CALR,BCL6,0,2,3,119,0.0,1.0
275,CALR,NOTCH1,0,2,3,119,0.0,1.0
276,CALR,ALK,0,2,1,121,0.0,1.0
277,CALR,MEF2BNB-MEFB,0,2,2,120,0.0,1.0
278,CALR,CARD11,0,2,5,117,0.0,1.0
279,CALR,CD58,0,2,1,121,0.0,1.0
280,CALR,SF3B1,0,2,1,121,0.0,1.0
281,CALR,PPM1D,0,2,4,118,0.0,1.0
282,CALR,IGHG3-CCND1,0,2,1,121,0.0,1.0
283,CALR,SH2B3,0,2,3,119,0.0,1.0
284,CALR,CIITA,0,2,3,119,0.0,1.0
285,CALR,BCL2,0,2,2,120,0.0,1.0
286,CALR,PTPN11,0,2,1,121,0.0,1.0
287,CALR,KMT2A,0,2,4,118,0.0,1.0
288,CALR,ITK,0,2,4,118,0.0,1.0
289,CALR,PAX5,0,2,2,120,0.0,1.0
290,CALR,ATM,0,2,3,119,0.0,1.0
291,CALR,CD83,0,2,2,120,0.0,1.0
292,CALR,CCND1,0,2,1,121,0.0,1.0
293,CALR,PD-1,0,2,2,120,0.0,1.0
294,CALR,GNA13,0,2,1,121,0.0,1.0
295,CALR,EZH2,0,2,1,121,0.0,1.0
296,CALR,BCR,0,2,3,119,0.0,1.0
297,CALR,ID3,0,2,2,120,0.0,1.0
298,CALR,KIT,0,2,2,120,0.0,1.0
299,CALR,PIK3CD,0,2,1,121,0.0,1.0
300,CALR,MYC,0,2,2,120,0.0,1.0
301,CALR,IL7R,0,2,1,121,0.0,1.0
302,CALR,ZRSR2,0,2,4,118,0.0,1.0
303,CALR,NOTCH2,0,2,2,120,0.0,1.0
304,CALR,IRF8,0,2,4,118,0.0,1.0
305,CALR,TP53 gene,0,2,7,115,0.0,1.0
306,CALR,KRAS,0,2,8,114,0.0,1.0
307,CALR,NRAS,0,2,7,115,0.0,1.0
308,CALR,PDL2,0,2,5,117,0.0,1.0
309,CALR,BRAF,0,2,2,120,0.0,1.0
310,CALR,EGR1,0,2,5,117,0.0,1.0
311,CALR,TET2,0,2,21,101,0.0,1.0
312,CALR,DNMT3A,0,2,12,110,0.0,1.0
313,CALR,ARID1A,0,2,4,118,0.0,1.0
314,CALR,SETD2,0,2,9,113,0.0,1.0
315,CALR,JAK1,0,2,5,117,0.0,1.0
316,CALR,CSF3R,0,2,6,116,0.0,1.0
317,CALR,TNFAIP3,0,2,6,116,0.0,1.0
318,CALR,JAK3,0,2,3,119,0.0,1.0
319,CALR,IRF4,0,2,1,121,0.0,1.0
320,CALR,ABL1,0,2,2,120,0.0,1.0
321,CALR,IGHJ6-CCND1,0,2,2,120,0.0,1.0
322,CALR,FBXW7,0,2,4,118,0.0,1.0
323,CALR,IDH2,0,2,1,121,0.0,1.0
324,CALR,SRSF2,0,2,2,120,0.0,1.0
325,CALR,TNFRSF1B,0,2,1,121,0.0,1.0
326,CALR,SOCS1,0,2,1,121,0.0,1.0
327,CALR,EPOR,0,2,1,121,0.0,1.0
328,CALR,RAD21,0,2,1,121,0.0,1.0
329,CALR,TNFRSF14,0,2,1,121,0.0,1.0
330,CALR,PIM1,0,2,1,121,0.0,1.0
331,CALR,POT1,0,2,1,121,0.0,1.0
332,CALR,NFKBIE,0,2,1,121,0.0,1.0
333,CALR,PTEN,0,2,1,121,0.0,1.0
334,CALR,CD274/PD-1,0,2,1,121,0.0,1.0
335,CALR,PHF6,0,2,1,121,0.0,1.0
336,CALR,RPS15,0,2,1,121,0.0,1.0
337,CALR,CXCR4,0,2,1,121,0.0,1.0
338,CALR,KLF2,0,2,1,121,0.0,1.0
339,CALR,MYD88,0,2,1,121,0.0,1.0
340,JAK2,ASXL1,0,3,7,114,0.0,1.0
341,JAK2,PIK3CA,0,3,2,119,0.0,1.0
342,JAK2,FOXO1,0,3,3,118,0.0,1.0
343,JAK2,CALR,0,3,2,119,0.0,1.0
344,JAK2,JAK2,3,0,0,121,inf,3.224516644954921e-06
345,JAK2,SGK1,0,3,3,118,0.0,1.0
346,JAK2,FGFR3,0,3,1,120,0.0,1.0
347,JAK2,PRDM1,0,3,4,117,0.0,1.0
348,JAK2,CREBBP,0,3,4,117,0.0,1.0
349,JAK2,RUNX1,1,2,2,119,29.75,0.07140369658588178
350,JAK2,NFKB2-B2M,0,3,1,120,0.0,1.0
351,JAK2,IKZF3,0,3,1,120,0.0,1.0
352,JAK2,EP300,0,3,10,111,0.0,1.0
353,JAK2,MTOR,0,3,1,120,0.0,1.0
354,JAK2,STAT3,0,3,2,119,0.0,1.0
355,JAK2,BCOR,0,3,5,116,0.0,1.0
356,JAK2,STX11,0,3,4,117,0.0,1.0
357,JAK2,CDKN2B,0,3,2,119,0.0,1.0
358,JAK2,NF1,1,2,5,116,11.6,0.13932491519521223
359,JAK2,BCL6,0,3,3,118,0.0,1.0
360,JAK2,NOTCH1,0,3,3,118,0.0,1.0
361,JAK2,ALK,0,3,1,120,0.0,1.0
362,JAK2,MEF2BNB-MEFB,0,3,2,119,0.0,1.0
363,JAK2,CARD11,0,3,5,116,0.0,1.0
364,JAK2,CD58,0,3,1,120,0.0,1.0
365,JAK2,SF3B1,0,3,1,120,0.0,1.0
366,JAK2,PPM1D,0,3,4,117,0.0,1.0
367,JAK2,IGHG3-CCND1,0,3,1,120,0.0,1.0
368,JAK2,SH2B3,0,3,3,118,0.0,1.0
369,JAK2,CIITA,0,3,3,118,0.0,1.0
370,JAK2,BCL2,0,3,2,119,0.0,1.0
371,JAK2,PTPN11,0,3,1,120,0.0,1.0
372,JAK2,KMT2A,0,3,4,117,0.0,1.0
373,JAK2,ITK,0,3,4,117,0.0,1.0
374,JAK2,PAX5,0,3,2,119,0.0,1.0
375,JAK2,ATM,0,3,3,118,0.0,1.0
376,JAK2,CD83,0,3,2,119,0.0,1.0
377,JAK2,CCND1,0,3,1,120,0.0,1.0
378,JAK2,PD-1,0,3,2,119,0.0,1.0
379,JAK2,GNA13,0,3,1,120,0.0,1.0
380,JAK2,EZH2,0,3,1,120,0.0,1.0
381,JAK2,BCR,0,3,3,118,0.0,1.0
382,JAK2,ID3,0,3,2,119,0.0,1.0
383,JAK2,KIT,0,3,2,119,0.0,1.0
384,JAK2,PIK3CD,0,3,1,120,0.0,1.0
385,JAK2,MYC,0,3,2,119,0.0,1.0
386,JAK2,IL7R,0,3,1,120,0.0,1.0
387,JAK2,ZRSR2,0,3,4,117,0.0,1.0
388,JAK2,NOTCH2,0,3,2,119,0.0,1.0
389,JAK2,IRF8,0,3,4,117,0.0,1.0
390,JAK2,TP53 gene,0,3,7,114,0.0,1.0
391,JAK2,KRAS,0,3,8,113,0.0,1.0
392,JAK2,NRAS,0,3,7,114,0.0,1.0
393,JAK2,PDL2,1,2,4,117,14.625,0.1170660767950884
394,JAK2,BRAF,0,3,2,119,0.0,1.0
395,JAK2,EGR1,1,2,4,117,14.625,0.1170660767950884
396,JAK2,TET2,1,2,20,101,2.525,0.4297410068230772
397,JAK2,DNMT3A,0,3,12,109,0.0,1.0
398,JAK2,ARID1A,0,3,4,117,0.0,1.0
399,JAK2,SETD2,0,3,9,112,0.0,1.0
400,JAK2,JAK1,0,3,5,116,0.0,1.0
401,JAK2,CSF3R,1,2,5,116,11.6,0.13932491519521223
402,JAK2,TNFAIP3,0,3,6,115,0.0,1.0
403,JAK2,JAK3,1,2,2,119,29.75,0.07140369658588178
404,JAK2,IRF4,0,3,1,120,0.0,1.0
405,JAK2,ABL1,0,3,2,119,0.0,1.0
406,JAK2,IGHJ6-CCND1,0,3,2,119,0.0,1.0
407,JAK2,FBXW7,0,3,4,117,0.0,1.0
408,JAK2,IDH2,0,3,1,120,0.0,1.0
409,JAK2,SRSF2,1,2,1,120,60.0,0.04799370574350905
410,JAK2,TNFRSF1B,0,3,1,120,0.0,1.0
411,JAK2,SOCS1,0,3,1,120,0.0,1.0
412,JAK2,EPOR,0,3,1,120,0.0,1.0
413,JAK2,RAD21,0,3,1,120,0.0,1.0
414,JAK2,TNFRSF14,0,3,1,120,0.0,1.0
415,JAK2,PIM1,0,3,1,120,0.0,1.0
416,JAK2,POT1,0,3,1,120,0.0,1.0
417,JAK2,NFKBIE,0,3,1,120,0.0,1.0
418,JAK2,PTEN,0,3,1,120,0.0,1.0
419,JAK2,CD274/PD-1,0,3,1,120,0.0,1.0
420,JAK2,PHF6,0,3,1,120,0.0,1.0
421,JAK2,RPS15,0,3,1,120,0.0,1.0
422,JAK2,CXCR4,0,3,1,120,0.0,1.0
423,JAK2,KLF2,0,3,1,120,0.0,1.0
424,JAK2,MYD88,0,3,1,120,0.0,1.0
425,SGK1,ASXL1,0,3,7,114,0.0,1.0
426,SGK1,PIK3CA,0,3,2,119,0.0,1.0
427,SGK1,FOXO1,1,2,2,119,29.75,0.07140369658588178
428,SGK1,CALR,0,3,2,119,0.0,1.0
429,SGK1,JAK2,0,3,3,118,0.0,1.0
430,SGK1,SGK1,3,0,0,121,inf,3.224516644954921e-06
431,SGK1,FGFR3,0,3,1,120,0.0,1.0
432,SGK1,PRDM1,0,3,4,117,0.0,1.0
433,SGK1,CREBBP,0,3,4,117,0.0,1.0
434,SGK1,RUNX1,1,2,2,119,29.75,0.07140369658588178
435,SGK1,NFKB2-B2M,0,3,1,120,0.0,1.0
436,SGK1,IKZF3,0,3,1,120,0.0,1.0
437,SGK1,EP300,0,3,10,111,0.0,1.0
438,SGK1,MTOR,0,3,1,120,0.0,1.0
439,SGK1,STAT3,0,3,2,119,0.0,1.0
440,SGK1,BCOR,1,2,4,117,14.625,0.1170660767950884
441,SGK1,STX11,0,3,4,117,0.0,1.0
442,SGK1,CDKN2B,1,2,1,120,60.0,0.04799370574350905
443,SGK1,NF1,0,3,6,115,0.0,1.0
444,SGK1,BCL6,0,3,3,118,0.0,1.0
445,SGK1,NOTCH1,0,3,3,118,0.0,1.0
446,SGK1,ALK,0,3,1,120,0.0,1.0
447,SGK1,MEF2BNB-MEFB,0,3,2,119,0.0,1.0
448,SGK1,CARD11,0,3,5,116,0.0,1.0
449,SGK1,CD58,0,3,1,120,0.0,1.0
450,SGK1,SF3B1,0,3,1,120,0.0,1.0
451,SGK1,PPM1D,0,3,4,117,0.0,1.0
452,SGK1,IGHG3-CCND1,0,3,1,120,0.0,1.0
453,SGK1,SH2B3,0,3,3,118,0.0,1.0
454,SGK1,CIITA,0,3,3,118,0.0,1.0
455,SGK1,BCL2,0,3,2,119,0.0,1.0
456,SGK1,PTPN11,0,3,1,120,0.0,1.0
457,SGK1,KMT2A,0,3,4,117,0.0,1.0
458,SGK1,ITK,0,3,4,117,0.0,1.0
459,SGK1,PAX5,0,3,2,119,0.0,1.0
460,SGK1,ATM,0,3,3,118,0.0,1.0
461,SGK1,CD83,0,3,2,119,0.0,1.0
462,SGK1,CCND1,0,3,1,120,0.0,1.0
463,SGK1,PD-1,0,3,2,119,0.0,1.0
